page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_222,222,page_222_semantic_3.csv,SCORE_CLEAR,78.84,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_223,223,page_223_semantic_3.csv,SCORE_TIED_RECENCY,80.07,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_224,224,page_224_semantic_3.csv,SCORE_TIED_RECENCY,74.87,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_225,225,page_225_semantic_3.csv,SCORE_TIED_RECENCY,75.28,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_226,226,page_226_semantic_3.csv,SCORE_CLEAR,76.67,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_227,227,page_227_semantic_3.csv,SCORE_CLEAR,77.04,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_228,228,page_228_semantic_3.csv,SCORE_TIED_RECENCY,74.96,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_229,229,page_229_semantic_2.csv,SCORE_TIED_RECENCY,75.17,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_230,230,page_230_semantic_3.csv,SCORE_TIED_RECENCY,74.39,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_231,231,page_231_semantic_2.csv,SCORE_CLEAR,76.18,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_232,232,page_232_semantic_3.csv,SCORE_TIED_RECENCY,81.34,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
