file,page_num,value,address_before,action
all_pages_20260721_1901_geocoded.csv,480,Via Candia 2,Castello numero 1268,conflict_manual_review
matched_outside_venice_centroid.csv,151,"San Marco, 1955",Via Garibaldi,conflict_manual_review
matched_outside_venice_centroid.csv,221,Via M. Polo 15,fond. Misericordia 2528,conflict_manual_review
matched_outside_venice_centroid.csv,290,"Via Rosa, 22",Calle dei Fabbri 926,conflict_manual_review
matched_outside_venice_centroid.csv,317,San Marco 181 A,"S. Margherita 3675, S. Polo 1806",conflict_manual_review
matched_outside_venice_centroid.csv,357,Via Lepanto VII-18-B,Dosoduro .345,conflict_manual_review
matched_outside_venice_centroid.csv,409,Via Cengio 6,Cavallino 3,conflict_manual_review
matched_outside_venice_centroid.csv,412,Castello numero 6249,Lido Piazzale Ibuonic 18,conflict_manual_review
matched_outside_venice_centroid.csv,413,Castello numero 6249,Murano S. Lorenzon numero 15,conflict_manual_review
matched_outside_venice_centroid.csv,413,Castello numero 6249,"Marghera, Via F.lli Bandiera",conflict_manual_review
matched_outside_venice_centroid.csv,428,Via Poerio numero 50,S. Marina 5906,conflict_manual_review
matched_outside_venice_centroid.csv,455,Cannaregio 461,Burano S. M.S. 622,conflict_manual_review
matched_outside_venice_centroid.csv,455,Cannaregio 461,Lido Via Jacupo de Barbari 4,conflict_manual_review
matched_outside_venice_centroid.csv,456,Cannaregio 461,Isola Veniera 34,conflict_manual_review
matched_outside_venice_centroid.csv,457,Cannaregio 461,Via Porta 24,conflict_manual_review
matched_outside_venice_centroid.csv,466,Via Cappucina numero 48,S. Elena Piazza d Novoom-bra 53,conflict_manual_review
matched_outside_venice_centroid.csv,466,Via Scutari 16,S. Zacaria 4691,conflict_manual_review
matched_outside_venice_centroid.csv,466,"Via Scutari, numero 16",S. Zacaria 4691,conflict_manual_review
matched_outside_venice_centroid.csv,466,Cannaregio 5044,S. Zacaria 4691,conflict_manual_review
nominatim_20260722_1042_matched_nominatim_inside.csv,260,Castello 6168,"Giudecca fondamenta S. Giovanni 14, Cann. 3557",conflict_manual_review
nominatim_20260722_1042_matched_nominatim_inside.csv,413,Castello numero 6249,"S. Bartolomeo, 5845",conflict_manual_review
nominatim_20260722_1042_matched_nominatim_inside.csv,413,Castello numero 6249,San Bartolomeo 5315,conflict_manual_review
nominatim_20260722_1042_matched_nominatim_inside.csv,413,Castello numero 6249,"S. Bartolomeo, Calle dell'Olio 5537",conflict_manual_review
unmatched_after_manual.csv,140,Cannaregio 3051,S. Beneo 3945,conflict_manual_review
unmatched_after_manual.csv,199,Cannaregio 4726,Marghere Via delle Macchine,conflict_manual_review
unmatched_after_manual.csv,373,Via M. Sabotino 8,Via Cattafian 107,conflict_manual_review
