category,frequency,cluster_id,category_name
Fornitore Marittime,1,1,"Transport, shipping & maritime trades"
Noleggio Imbarcazioni,1,1,"Transport, shipping & maritime trades"
Agenzia Traslochi,1,1,"Transport, shipping & maritime trades"
ippotrasporti,1,1,"Transport, shipping & maritime trades"
Costruzioni Navali,1,1,"Transport, shipping & maritime trades"
Trasporti Postali Carcerari,1,1,"Transport, shipping & maritime trades"
cantiere navale S. An,1,1,"Transport, shipping & maritime trades"
cantiere navale Monigrea,1,1,"Transport, shipping & maritime trades"
imprese opere marittime,1,1,"Transport, shipping & maritime trades"
casa di spedizione,1,1,"Transport, shipping & maritime trades"
Esclusivisti delle rnigliori Marche Nazionali ed Estere,1,1,"Transport, shipping & maritime trades"
Negozio l’imbarchaioni,1,1,"Transport, shipping & maritime trades"
Agenzia Marittima e Spedizioni Internazionali,1,1,"Transport, shipping & maritime trades"
casi di spedizione,1,1,"Transport, shipping & maritime trades"
"Soc. Coop. a. r. 1., trasporti",1,1,"Transport, shipping & maritime trades"
autotrasport,1,1,"Transport, shipping & maritime trades"
Gestione Agenzie Marittime,1,1,"Transport, shipping & maritime trades"
trasporti e spedizioni,1,1,"Transport, shipping & maritime trades"
importazione ed espor tazione varie,1,1,"Transport, shipping & maritime trades"
"di Spedizione, spedizioni e trasporti",1,1,"Transport, shipping & maritime trades"
Cantiere navale,1,1,"Transport, shipping & maritime trades"
Trasporto,1,1,"Transport, shipping & maritime trades"
"Organizzazione Trasporti, spedizioni e trasporti",1,1,"Transport, shipping & maritime trades"
autoviatporti,1,1,"Transport, shipping & maritime trades"
"Spedizioni Terrestre Marittime e Fluviali per l'Interno e per l'Estero, Filiali o Corrispondenti nelle principali località Italiane ed Estere. Servizi speciali di spedizione a mezzo autocarro e per Lombardia, Piemonte, Liguria, Emilia, Toscana, Lazio, Italia Centrale, Meridionale e Insulare.",1,1,"Transport, shipping & maritime trades"
armatore-aganzuia marittima,1,1,"Transport, shipping & maritime trades"
cantlere navale,1,1,"Transport, shipping & maritime trades"
