category_value,override_name,cluster_id,default_name_would_have_been
Bestimare ed esercizio macellere,"Food, grocery & hospitality trade",2,general retail
Case da Gioco,"Food, grocery & hospitality trade",2,general retail
Filatelica,"Culture, entertainment & leisure",2,general retail
Pastore,Religious institutions & clergy,2,general retail
Soc. Coop.,,2,general retail
S. A.,,2,general retail
S.,,2,general retail
Soc. An.,,2,general retail
Soc per Az,,2,general retail
(Ditta),,2,general retail
(dett.),,2,general retail
(dettaglio),,2,general retail
dettaglio,,2,general retail
Comm.,,2,general retail
comm.,,2,general retail
Pres.,,2,general retail
per azioni,,2,general retail
Esercizi,,2,general retail
Esercizio,,2,general retail
AGENCY,,2,general retail
well executives,,2,general retail
soc,,2,general retail
Duplicatori,,2,general retail
fdm. Navagero 34,,2,general retail
Cann. 1671,,2,general retail
Cann. 2102,,2,general retail
Cann 8971,,2,general retail
via Dese,,2,general retail
Via Algieri,,2,general retail
Ruga Giuffa,,2,general retail
C.P. 28,,2,general retail
C. P. 46,,2,general retail
numero 45,,2,general retail
numero 1641,,2,general retail
numero 565,,2,general retail
numero 572,,2,general retail
telefono 24-562,,2,general retail
Telef. 53-819,,2,general retail
Santa Apneise 909-A,,2,general retail
fond. Cavor 13,,2,general retail
Gludeco 595,,2,general retail
Cast. 3133,,2,general retail
S. Moisé,,2,general retail
Fond. Convertite,,2,general retail
Cavalcavia,,2,general retail
Calvacavia,,2,general retail
Pal Da Mula,,2,general retail
Màghera,,2,general retail
Navagero 54,,2,general retail
ldm. Domnla Onesta,,2,general retail
v. Macello,,2,general retail
Cà Vio,,2,general retail
2196 A,,2,general retail
661-A,,2,general retail
"119-A""",,2,general retail
"1079""",,2,general retail
co 1294,,2,general retail
2667 B,,2,general retail
O.S.M.,,2,general retail
F.I.T.T.V.,,2,general retail
S.A.V.I.A.,,2,general retail
S.A.F.A.,,2,general retail
P. S. in S.P.K.,,2,general retail
A.C.S Empale. vile e handli're;,,2,general retail
(ANPI),,2,general retail
Organiz. (ANT),,2,general retail
S. Marco,,3,Institutions/companies
Cannaregio,,3,Institutions/companies
Castello,,3,Institutions/companies
S. Polo,,3,Institutions/companies
S. Marco 3650,,3,Institutions/companies
S. Fantin 1983-A,,3,Institutions/companies
Venezia,,3,Institutions/companies
Ponte delle Guglie,,3,Institutions/companies
S. Cassiano,,3,Institutions/companies
Strada Nuova,,3,Institutions/companies
S. Croce 1051,,3,Institutions/companies
Calle Goldoni,,3,Institutions/companies
S. Croce 862,,3,Institutions/companies
"S. Marco, 378,,,",,3,Institutions/companies
S. Marco 2553,,3,Institutions/companies
"S. Marco, 553",,3,Institutions/companies
"S. Marco, 2670 A",,3,Institutions/companies
"S. Marco, 4611",,3,Institutions/companies
San Marco,,3,Institutions/companies
S. Samuele 3357,,3,Institutions/companies
Campo S. Maria Formosa,,3,Institutions/companies
San Luca Calle del Magazen,,3,Institutions/companies
S. Luca 4371,,3,Institutions/companies
San Lio,,3,Institutions/companies
"S. Marco 3416""",,3,Institutions/companies
Via Torre Belfredo,,3,Institutions/companies
Telefono 23.050,,3,Institutions/companies
S. Marco 4651,,3,Institutions/companies
S. Elena,,3,Institutions/companies
S. Polo 1077,,3,Institutions/companies
"S. Croce 772, Dorsod. 2727, S. Marco 4578 e Lido, Via Malamocco 91",,3,Institutions/companies
"Telefono, 23-257",,3,Institutions/companies
S. Fosca 2223,,3,Institutions/companies
S. Marco 914,,3,Institutions/companies
Telefono 42-562,,3,Institutions/companies
S. Marco 3727,,3,Institutions/companies
"Pellestrina, S. Pietro in Volta",,3,Institutions/companies
Via Piave,,3,Institutions/companies
P.za Umber. I,,3,Institutions/companies
S. Marco 4346,,3,Institutions/companies
Piazz. 27 Ottobre,,3,Institutions/companies
Telefono 22-534,,3,Institutions/companies
Via Acquileia,,3,Institutions/companies
S. Moisè,,3,Institutions/companies
S. Croce,,3,Institutions/companies
Sede di Venezia,,3,Institutions/companies
Bacino Orseolo 1198,,3,Institutions/companies
S. Marco 1957A,,3,Institutions/companies
